STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2015,,34.913,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2016,,36.953,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2017,,35.776,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2018,,36.572,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2019,,38.042,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2020,,45.015,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2021,,41.389,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2022,,44.076,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2023,,46.620,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AL,Albania,2024,,43.111,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,AT,Austria,2015,,33.497,,,,,
