DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,AL,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,AL,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,AT,2021,4270.143,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,AT,2022,3374.822,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,BA,2021,1207.595,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,BE,2021,1578.543,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,BE,2022,1500.939,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,BG,2021,1129.770,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,BG,2022,984.451,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,CY,2021,25.688,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,CY,2022,31.463,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,CZ,2021,3309.273,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,CZ,2022,3113.903,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,DE,2021,12238.555,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,DE,2022,12963.036,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,DK,2021,3305.496,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,DK,2022,2851.313,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,EA20,2021,59230.911,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,EA20,2022,57433.282,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,EE,2021,901.884,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,EE,2022,938.252,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,EL,2021,792.313,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,EL,2022,807.995,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,ES,2021,4069.310,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,ES,2022,4164.011,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,EU27_2020,2021,90019.049,
